comment,list of emojis,sentiment ranking
الأغلبية مازال لم يخرج من رئيس الجزائر,0,0
كنت باقة فعلم الغيب,0,0
كانت عندي 8 سنين وفي البيضاء يااخي الحسني درب الحرية بالضبط  يااخي رضوان كأنها أمس ولكن الأمس البعيد,0,0
,0,0
الحمد الله يا ربي الله يجعلنا نتقدمو وهما تابعينا كي لكلاب,0,0
Malak m3a les algérien Za3ma rahoum jiranak rak Man tafoughalt,0,0
الله اكبر ههه عوض منتحدو كنخربو بعضيتنا 😖😖عيييب بحال هاكا عمرنا نتقدمو,0,0
المغرب قاهر الأعداء 🇲🇦🇲🇦🇲🇦,0,0
ويمكرون ويمكر الله والله خير الماكرين .صدقو لا مشاريع لا فلوس تخويرة دوفاص 😂,0,0
Lah ichafihom 🙏,0,0
كون غير ستثمرها في بلادو ...ماديرش فبالك اسي الرئيس ان شالله تتعوض 😂😂😂,0,0
wa hada ghir hmar ma9arich faut voir ces intervieuws c honteux ni charisme ni culture walo,0,0
Vu,0,0
اللهم أجعل كيدهم في نحورهم,0,0
اوا موت غي فسمك 😠,0,0
😂😂😂😂😂😂🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,0,0
كارثة في الاخير ولاد فرنسا يقولك مروك يغير منا وحنا واحنا الخ ههههه,0,0
وشعب توارك في تمرنست لا يجد حتى الماء يشربه ولا مستشفى يتعالج فيها,0,0
🇲🇦واحل ليهم ف القرجوتة,0,0
لي حفر شي حفرة كيطيح فيها😂 ولابد السحر ينقلب على الساحر,0,0
33 مليار دينار كون خسرتوها على بلادكم كون هربتوا علينا لسنوات ضوئية.,0,0
عذرك اقبح مِن زلتك زعما لقيتي ليها تخريجة لمكرمص اللي قالها ليك دير بيها مشاريع تنموية نمي بلادك ونتا تابعنا هانتا جلستي على واحد كوزيمار هو هداك🤣🤣🤣,0,0
سيرو زرعو غا البنان امساخيط الواليدن 😂😂,0,0
سبحان الله نحن دائما نفتخر بصناعات السيارات وكأن ملكيتها تعود لنا والحديث طويل,0,0
اللهم اجعل كيدهم في نحرهم,0,0
😏,0,0
😂😂😂,0,0
Ar3ad 😂😂😂😂😂,0,0
شاخضة حقد,0,0
,0,0
"Top ولا Flop 
 رأي و رايكم اقدر انفع غيري و غيركم
  اجيو نقطو المنتجات اللي جربنا!!! 
!!!او نشوفو رأي البنات فالمنتجات اللي بغينا نشريو",0,0
كنتمناو شيفاء العاجل لتبون راه غنتوحشو نوكاتو خرايفو هو شعبو التبوني😂ا,0,0
ملك راق في التعامل و خلوق,0,0
التبون كايعجبني الاخلاق ديالو,0,0
😮👏👏,0,0
واش هاد الجملة صحيحة بالعربية؟ شحال كاين من فعل وفاعل وعلى من يعود كل فعل؟ 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,0,0
أخلاق ملك ابن ملك🇲🇦❤️,0,0
Ach had simya  lay chafi tabon,0,0
محمد السادس حفظه الله ❤❤❤,0,0
فهم تسطا,0,0
الكريم ابن الكريم ابن الكريم❤️❤️❤️,0,0
😂😂😂😂 حنا مخاصمين معاهم ف مواقع التواصل والملك كيصيفط ليه البرقية أن شاء الله داك تبون اموت حنا مالنا,0,0
شتان بين اخلاق الملوك واخلاق الصعاليك الله ينصر سيدنا ويطول في عمره,0,0
الله يشافي تبون صاحب المنظومة الصحية الأكثر تطورا في العالم العربي 🙏,0,0
عاش الملك الله يحفظه و يخليه لينا ❤️❤️❤️🇲🇦🇲🇦🇲🇦,0,0
صراحه ملکنا مکینش بحالو الله اطول لینا فعمرو ویبعد علیه العدیان,0,0
😍,0,0
"تبيبين تبون رئيس كذب ووهم أكبر كذاب في العالم صاحب الكذب وكوميديا هو تبون أصيب بكورونا الآن من راح يكذب على شعبه علاش مشا يتعالج في ألمانيا وقال انه بلده فيها أحسن منظومة صحية افريقيا وعربيا هذي من اول كذباته تبون كان مشبع شعبه ززاير بكذب ونكت كل نهار عندوا كذبة جديدة عوض يخدم على بلادوا لا راس ماله الكذب ههه تبون قالك الى عندو مديونية غادي يفقد السيادة ههههههه، على أساس الجزاير عندها سيادة، فرنسا تمتص خيرات الجزايرية النفطية منذ 1962 ولازالت تتحكم في الشؤون الداخلية للجزاير+ موانئ الجزاير تحت سيطرة الإمارات 
الجزاير دويلة لايحكمها سياسيون  بل مجموعة من كابرانات فرنسا عسكر عبييد شواذ منهم شنقريجة وغيره عبييد لفرنسا يخدم لصالح اسيادوا فرنسيين مجموعة عصابات تبيع وتسوق الوهم
من 1965 الكل على هواه عساكر شيوخ اكل الدهر وشرب على افكارهم
عسكرية اشتراكية العالم يتحرك
الى الامام الا هذه العصابة الي حاكمة جزاير  أصغرهم 
تجاوز التقاعد ب 15سنة
 دولة جزاير بدون قيادة ولا سيادة وشعب مقهور لايتوفر حتى على مادة الحليب ناهيك على ماء غير موجود في المدن جزايرية الماء يجي ساعتين في اليوم في وهران وغيرها وبطاطا والسميد جزايرين مقاتلين في طوابير باش يحصلوا على شوية بطاطا وسميد وحليب اما الموز واللحم الغالييين على شعب جزايري المقهور الي ماقادرينش يشروه وجالسين عساكر عجايز يستوروا لحم الحمير لشعب جزايري لانه رخيص ويوكلوه لشعب ناهيك على سيول الغير موجودة في بريد الجزايري وليس بنوكهم لانه معندهمش ناس مالاقية فلوس باش تصرف على نفسها كيخدموا وميتخلصوش ناهيك على جزايريات في جزاير في بيوت الدعارة المرخصة من طرف عساكر الي حاكمين جزاير وكياخذوا فلوس ضرائب من اصحاب بيوت الدعارة ناهيك على ناس في جزاير بعض منهم ياكل من مزابل أين فلوس البترول والغاااااز لازم تكون جزاير مثل دول بترولية ويعيشوا عيشتهم الحمد لله على نعمة المغرب لابترول لاغاز وأحسن منهم مليااااااااااااار ملياااااارات مرة",0,0
ملكنا الغالي جمع كل الصفات الحسنة من شهامة وأخلاق الشرفاء اللهم احفظه لنا كما حفظت الذكرى الحكيم 😍,0,0
تبون قالهم في الانتخابات ندير ليكم قطار فائق السرعة من العاصمة لتمنراست  هههه مساكن شعب ززايري راهم يتسناو ماوفر لهم حتى معيشة كريمة مخلي شعبوا في طوابير دل مدن ماعندها ماء بقا ليه غير قطارات سريعة اجي ودير فحال سيادك المغاربةTGV,0,0
تبون رئيس ززايري قال لشعبه جزاير في الانتخابات ندير ليكم قطار فائق السرعة من العاصمة لتمنراست  هههه مساكن شعب ززايري راهم يتسناو ماوفر لهم حتى معيشة كريمة مخلي شعبوا في طوابير دل مدن ماعندها ماء بقا ليه غير قطارات سريعة اجي ودير فحال سيادك المغاربةTGV,0,0
السلطان ديانا كيخشيلو الهضرة غير بالعف 😂😂😂 زعما عندك احسن منظومة صحية عربيا وافريقيا وهاتينا دبا قولوم يعالجوك 😹,0,0
✌️,0,0
😂,0,0
chkon wach tabon,0,0
Lah ichafik a taboun💪,0,0
كنظن المغرب بالغ فالدبلوماسية ديالو لي معطاتش شي نتيجة فهاد العقد المنصرم .. تبون = الجزائر = عدو المغرب .. كلشي واضح,0,0
كون كان العكس غاتلقاهم فرحوا,0,0
Lauchafik atabon,0,0
من كتاب أخلاق الشرفاء في جوار النذلاء,0,0
ادفع بالتي هي أحسن.. أخلاق االنبلاء,0,0
ممفاهمينش مزيان,0,0
صافي جاتو سكته قلبيه😂,0,0
الله يحفظ لينا بلادنا وملكنا 🇲🇦🤲,0,0
🤮🤮🤮🤮🤮,0,0
التبون شكون يكرهو ولا يبغيلو ااضرر😂😂😂😂,0,0
ترابي و صواب ديال الملوك 👑,0,0
الله يشافيه ، ميكون عندو باس ، الله ينصر ملكنا,0,0
,0,0
الفزع من غلاء الاسعار والاثمنة دالخضر هو ما يجوب الشارع المغرب غير ذلك تا واحد مامسوق,0,0
أنا ما يقيت فاهمة والو قرارات كتقول ممنوع السفر الا برخصة والناس غادة جاية في السكك الحديدية بدون حسيب ولا رقيب,0,0
الشعب يتحمل المسؤؤلية وليست الحكومة  قبل لوم الحكومة يجب أن نلوم أنفسنا لعدم التزامنا  والكلخ الكلخ  هو الوباء يجب محاربته في الاول,0,0
Ns aussi on s en bat les couille,0,0
والله محضرت لواحد العراسية طايح كثر من النايض 😂😂😂 وتقول شي كمامةكدور من غير خالت العروسة الوحيدة لي بانتلي دايراها وانا نقولها معندي مانتسالك راكي متبعة الوقاية وهي تجاوبني لا ابنتي راني كنقي فمي علامة نركب الفم 😂😂😂😂 صدمتني,0,0
تواضعو معانا اللاي زازيكوم,0,0
نعم خاص التواصل مع المواطنين  وتحسيسهم ...😮,0,0
a rahom yejem3o lflos a sahbi malk ma tefhemch,0,0
تا غير خليهم ساكتين . راه ملي كايدويو كايخرجو عليما جملة,0,0
شداهم الخلعة ماعرفين ما يديرو ولا يقولو,0,0
تدهور الحالة الوبائية  نعم  _ شبابية المستقبل  نعم _  حالة الطوارئ؟؟؟ هل هناك حالة طوارئ في المغرب؟؟ و ان  كانت فما هي اجرائاتها؟ ما هي مظاهره على أرض الواقع لا نرى شيئا من هذا القبيل فكل مكان مكتظ من أسواق و متاجر و مقاهي ومطاعم و حمامات وقاعات الرياضة وصالونات التجميل و أعراس و جناءز حتى التنقلات بين المدن المحدورة تتم بكل أريحية سواء في الأعياد او العطل حتى وان كانت باراجات فهي تفتح بالطريقة السحرية المغربية (دهن السير يسير) ولكل براج ثمنه حسب أهمية ودرجة الإصابة في المدينة  الإجراءات المشددة و حالات الطوارئ ما هي  إلا ادعاء دون تنفيد يلوح بها المسؤولون عن طريق الإعلام ربما للاستهلاك الخارجي فقط  اما داخل الوطن فمسؤولونا برهنوا على فشلهم في تدبير الازمة وفي اخد القرارات الصاءبة فهم يخبطون خبط عشواء وينتقل ن من قرار كارثي إلى قرار اكثر كارثية  بالنسبة للهلع الاجتماعي و حالة القلق النفسي لا نرى هذا الشيء لا في الشارع ولا في كل أماكن التجمعات فالكل يعيش ( الا فءة,0,0
مرحبا بيك فالمغرب الحقيقي ماشي ديال تلفزة,0,0
الى دواو الهضرة الوحيدة لي غيقولوها هي دخلو لديركم ولا افرضوها والى دخلو الناس لديورهم كولشي غيموت بالجوع والحكومة معندها باش تعاون الشعب point final,0,0
اجعل منبرك آلية للتعوية، أما الأرقام المشار إليها أعلاه يجب إعادة النظر فيها .احترامي,0,0
الملك ديالنا الله يحفظو والدولة ديالنادارو جهدهم وكانوا يدورو فالشوارع والقايدة حورية خير مثال الأطباء الأساتذة كلشي والاعوان حتى واحد ماخصو ينكر,0,0
دابا حنا خصنا نحميو راسنا رآه الصغير فينا عارف كورونا خطار ولدي عندو عامين ونص وعارفاها,0,0
"Congo/Coronavirus: Le hamam à la Congolaise ""allias TCHIOKO"" est le traitement de choix pour guérir le coronavirus.
 Cardinal MADIATA  10 Juillet 2020  0
￼
Dr. Sylvere Malonga
Whatsapp #: 00 6304179417
                                                              Dr. Sylvere Malonga
                                                                                   Au             
                                                    Peuple Congolais, autorités sanitaires
                                Responsables du gouvernement de la République du Congo
 
Chicago le, 10 Juillet 2020
Objet : Le  hamam à la Congolaise allias THIOKO est le  traitement de choix pour guérir le coronavirus.
                              Chers  Compatriotes et autorités gouvernementales.
L’année 2020 a démarré avec la pandémie du Coronavirus. Au départ nous croyions  que c’était une crise sanitaire passagère mais avec le temps on réalise que le coronavirus va rester pour un bon temps avec nous, du coup le monde entier est bouleversé dans tous les angles et le Congo en fait part.
 Malgré, les précautions qui sont mises en place telles que le confinement, les gestes barrières comme le port des masques, des gants et le lavage des mains, la fermeture des frontières,  il y a des cas de contamination où il y a des sujets qui développent la maladie.
 D’après les statistiques du Congo publiés, le nombre de décès a plus que doublé dans ce dernier mois. Nous avons perdu des filles et fils de notre pays, parfois, des cadres, des élites de la nation.
Je m’adresse à vous tous pour apporter une solution à la congolaise pour ce mal qui a sévit notre pays et le monde entier.
Nous allons utiliser les données scientifiques connues du Coronavirus pour dresser un traitement puissant et efficace à la Congolaise.
En tant que praticien de la médecine, j’ai fait une étude empirique, c’est à dire une technique de recherche qui s'appuie sur l'observation et l'expérience vécues. Les résultats m’ont conduit à une conclusion incontestable que le ""hamam"" tel qu’il est fait à la Congolaise guéri la maladie de Coronavirus.
Je peux décrire succinctement  comment le préparer :",0,0
"Se procurer d’un sceau en métal ou une grosse marmite,
la remplir avec les diverses feuilles comme les feuilles de manguier, d’avocatier, de Safou, de citronnelle, etc…
mélangez avec assez d’eau.
Porter le tout à ébullition complète
Prenez une chaise basse
Mettez le contenu bouilli sous vos pieds
Couvrez-vous de plusieurs draps ou des couvertures lourdes afin de créer un champ hermétiquement fermé.
Humez la chaleur et les vapeurs du contenu pendant 10 à 15min
Vous allez beaucoup transpirer, transpirer.
Par défaut de vaccin et de traitement efficace de Coronavirus. Notre médecine inconventionnelle  pourra répondre aux aspirations des Congolais.
Maintenant examinons les bienfaits de notre TCHIOKO.  A priori, le corps humain a son propre TCHIOKO inné, qui est la Fièvre. C’est un mécanisme naturel que le corps déclenche pour lutter contre les infections. Dans le cas du coronavirus, si la fièvre  ne suffit pas à lutter contre l’infection autrement  la mort suit. C'est dans cette optique de pathophysiologie de la fièvre que notre TCHIOKO intervient pour appuyer davantage le corps à lutter contre l’infection.
Le Tchioko est un supplément de traitement que toute personne ayant de symptômes de paludisme, grippe, fièvre, courbature, mal de gorge, fatigue doit appliquer intimement en cette période de pandémie de la covid- 19 pour éviter la mort.
Le Tshioko a beaucoup de bénéfices thérapeutiques pour ne citer que quelques-uns :
L’élévation mécanique de la température du corps par le Tchioko  permet aux cytokines d’envoyer un message à l’hypothalamus qui est au cerveau de dire  au système immunitaire de mobiliser les
anticorps, les macrophages, leucotriènes de faire la sentinelle sur le corps pour se débarrasser des corps étrangers, dans ce cas le virus du coronavirus.
L’élévation de la température du corps par le Tchioko permet a beaucoup transpirer, par conséquent  les toxines, déchets sont éliminer par la peau.
L’élévation de la température du corps par le Tchioko relax les vaisseaux  sanguins superficiels et intérieures afin la circulation du sang atteint tous les organes affectés. Le flux du sang permet aussi d’approvisionner les organes atteints par le",0,0
اهدار اخاي الرمضاني راه مابقيناش قادرين نداوشو فديورنا واش هاد الحكومة بغا تماراضنا. راه اقتالنا البارد شوف هاد الدراسة كاتقول الحمام مزيان .,0,0
قبل كرونا زعما ماكانوش وفياة او مرض صافي  ناس عيان و ماشي غير المغرب عالم كامل مستعد عيش مع مرض و لا يوقف حياتو و موت بجوع على سبب فيروس حياة مغامرة من اساس  بأشكال مختلفة انا ضد حجر صحي و اوقف حركة حياة لكن مع توعية كمامة تعقيم  وقاية شويا  مع تباعد .... كثر من هكا لا,0,0
مرحبا بكم عندي فالصفحة🔥🔥🔥,0,0
👍👍👍,0,0
فعلا هدروا معانا. والوا نادا الصقيل. اضرب راسك مع الحايط، اطلع للرباط و اشكي🤣🤣,0,0
عيط لشي واحد فيهم للبرنامج ديالك وعطيه سؤال فاص وخليه اجوب الى قدر,0,0
🙏👍👍👍👍👍,0,0
بانو ليكم غير الحمامات مشفتوش الطوبيسات لي اكتر فتكا و هلاكا من الحمامات شير راكب فوق شي الشيفور كيبقى يعمر حتى كيولي يمشي بحال الحلزون,0,0
❤️,0,0
Hna f ouled mbark i9lim BENI MELLAL bhalla corona makaynach hta lhammam rah hal,0,0
اودي راه ماشي ناس ماحسينش راه الانسان مقهور قلة شي كترشي الانسان أهون عليه أن يموت بكرونا على أن يموت بالجوع الله يلطف بينا يارب,0,0
At7lo l7mamat 😂,0,0
من شهر مارس او هما داويين ما خلاو ما دارو ولي في راس بندام في راسو,0,0
حنا الرباط راه حمامات عامرة ومحلولة والحالة راه فطرف الهاوية,0,0
كلامك صح خويا الرمضاني ولينا فحال الى ناعسين او كنتسناو للي يفيقنا,0,0
Ils ont pas le courage,0,0
ان الناس لا يبالون و لا يحتاطون 😪😷,0,0
Il doivent tout d'abord remettre la gratuité du test Covid pour que tout le monde puisse contrôler la maladie et savoir si on l a ou pas.,0,0
سياسة الوباء تفوق إمكانية الدولة والحل الوحيد بيد سيدنا الله ينصروا هو الوحيد الحريص على الشعب ديالوا وداير جهدوا يوفر اللقاح لانه هو الحل الوحيد لي بقا الله يوفقوا امتحان قاصح لينا كلنا وسيدنا الله يكون فعوانوا,0,0
🔴🔴بعيداً عن كورونا لي الغني قبل الفقير كا يقولك بلي كذووووب.. لي النخبة قبل العامة كا يقولك هادي مسرحية مخزنية..تقول وهان كاينة حدا شتوكة آيت باها.. بغيت غااا نعرف شنو عندكم معا الحمام.. حيت فرق كبيييير بين حمام عمومي وحمام جماعي.. راه دااز وقت بنادم يغسل حدا الواد لي داز يتمنظر فيه ويمكن يتعدا عليه وخا يتلف ليه غااا حوايجوا يخلي خارج زبط.. داروا ليهم الحمام محضي طرونكيل ووصلوا ليه الماء والدفئ.. دبا لاش بنادم عزيز عليه يمشي يتعرا على الجماعة.. وشي يغسل وسخوا على شي.. بلا الذنوب ديال حضيني نحضيك.. وشي يضحك على شي ويبلغ بيه.. ويصورو گاع ويلوحوا فالواتس.. المغاربة دخلوا البخاري ومسلم فكلشي إلا  فالحمام الجماعي.. ما داوياش على الحمام العمومي لي كل واحد يتحمم بوحدو مستور..,0,0
و ليست كل الحمامات مغلقة,0,0
,0,0
ولد اليوعري يستاهل 💚,0,0
صحييت,0,0
🇲🇦💚🦅,0,0
Plz matchodch lina f rahimi rah wlyd nadi kikwr 😂,0,0
"Hada machi dyal raja ,  oui marki mais ydaya3 10 3ada ydakhal wa7ad",0,0
💚💚💚,0,0
الله يكمل ليه بالخير والله يحفظه ومرضي الوليدين معمرو يخيب 👍🏻💚,0,0
تاسير تكوا باغي تلحس الجراد بهاد الهضرة,0,0
أسبحالله 😂 وليتي كاتفهم فالكورة 😂😂🐒,0,0
💪💪🦅🦅,0,0
ماشاء الله على رحيمي لم ارى في حياتي شاب موهوب ويلعب بالقلب والنفس والروح الله يرحم لي رباك اخويا سفيان,0,0
💚💚🔥,0,0
💚💚💚💚,0,0
💚💚💚,0,0
💚💚💚💚,0,0
سفيان لاعب متواضع وخلوق وولد ناس ربي يسهل عليه وبوزبال لا داعي للاكتراث له فمرة ❤️❤️❤️❤️❤️,0,0
مكرهت يلعب مع بركان كويري ويلعب بروح الله يحفظو,0,0
👏👏,0,0
@sokaina.zennouhi,0,0
دبا عجبتني لسي الرمضاني تحية رجاوية من بلاد الغربة لناس تافوغالت 🔥🔥🔥,0,0
"هل تعلم أن لا احد يدعمني ؟ لأنني أنشر الثقافة والفائدة ولا أنشر الرقص والفاحشة 💗😢
 أنشر كورسات مدفوعة لجميع مجالات على الأنترنيت مجانا أدخل لحسابي وأنضر ان كان هذا الكلام صح أم لا😍😣",0,0
ديما 💚💚💚💚,0,0
🦅💚💚🦅👽💚🦅💚🦅👽💚,0,0
❤️,0,0
💚💚💚,0,0
الرمضاني اش كدير للتلصاق، هادشي مكديروهش مع الدراري ديال الوداد,0,0
"J'aime bien ce petit ,il ira loin si dieu le veut bon continuation.",0,0
اول مرة كاتقول شي حاجة فمحلها 👏👏👏,0,0
Erramdani please 🙏,0,0
😍😍,0,0
👏👏👏👏👏👏,0,0
😍✨,0,0
nekhnoukh,0,0
اللاعب المغربي كون يديها فلعبوا و الكورة و الرياضة و مايخرج على هاد النصوص غا نشوفو اباطرة الكرة فالعالم ولكن غير تايديرو شوي الفلوس تايطغاو و من هنا تبدأ نقطة الفشل,0,0
Please,0,0
👏👏👏👏,0,0
بغيتي تضحك و تنشط دخل شوف بوسطات و ستوريات ديالنا 😌😌😂😂,0,0
💚💚💚💚💚💚💚,0,0
A sir t9wd,0,0
Wydadi .. o Rahimi mn byn ahsn la3aba fi Botola bi roh li Endo o Ky l3b nfs . Istahl i3yto lih fi équipe national .. + dik hdra dyal satr akhir Khaliha endk ya 9owad makhzn khalik ri fi dik tafaha li ka dir o Tjib 9hab o zwaml baramij dyalk @ridouane_erramdani,0,0
,0,0
الله يسهل الامور و يحمي بلادنا,0,0
المهيم التعويض يكون سمين ولا الحجر إديروه بوحدهوم,0,0
فين عمر العتماني جاب شي خبار زينة ديما جايبهم بحال الحزب ديالو 💩,0,0
اللهم الحجر الصحي ولا المهزلة ديال الناس لي مراض خارجين بالعلالي و فرحااااانين بها.... الله يلطف و يرد بينا,0,0
رائحة الحجر عاطية 😷,0,0
يقدر يديرو لينا بحال تركيا ممنوع الخروج بالليل,0,0
😢😮,0,0
باينة غايديرو لينا .. لماذا نحن هنااااااا 😂😂,0,0
مبغيناااااااش الحجر نهائيا,0,0
@zagliz_lahcen,0,0
😄 النتيجة هي دير كمامتك و جلس فدارك,0,0
اويييلي ولد العتماني فيه كورونا ااااش داه امشي عند سيدنا الله احفظوا لينا يارب,0,0
الله يحفظ ياربي ماقادين على حجر,0,0
لعله خير ان شاء الله,0,0
فوقاش النتيجة,0,0
قرار تمديد حالة الطوارئ إلى غاية 10دجنبر 2020,0,0
خير اللهم اجعله خير 😄,0,0
@akram.xvii 😨,0,0
Loukan blasst may9ablou nachat ou sshrat ou l7flat loukan kaydirou baramij tw3awiya ou 7amalat tw3awiya ou ykhrjou l terrain m7it hadak li kay9oul lmgharba mklkhin khss y7assb li klkhhoum ama houma ma3ndhoum dnb,0,0
كيفهمونا بالغميز... واحنا أسيدي كنفهمو بالدبيز... فكونا لواحد الجيه🤦‍♀️,0,0
@zakariafannane,0,0
"Top ولا Flop 
 رأي و رايكم اقدر انفع غيري و غيركم
  اجيو نقطو المنتجات اللي جربنا!!! 
!!!او نشوفو رأي البنات فالمنتجات اللي بغينا نشريو",0,0
